keyword,volume,kd,intent,priority,cluster,is_pillar,ai_overview_present,source,notes
dr kamalakar,,,commercial,easy_win,brand_kamalakar,true,,manual,"GSC: 36 imp pos 4.78 — already winning brand query"
dr kamalakar cardiologist,,,commercial,easy_win,brand_kamalakar,false,,manual,"GSC: 36 imp pos 4.78 11% CTR"
kamalakar hospital,,,commercial,easy_win,brand_kamalakar,false,,manual,"GSC: 9 imp pos 8.78"
kamalakar reviews,,,commercial,easy_win,brand_kamalakar,false,,manual,"3-word canonical for ""kamalakar hospital reviews"" (GSC: 3 imp pos 11)"
kosaraju hospitals,,,commercial,content,brand_kamalakar,false,,manual,"GSC: 1 imp — peripheral surname variant"
cardiologist guntur,,,commercial,target,cardiologist_guntur,true,,manual,"3-word canonical for ""cardiologist in guntur"" — GSC: 12+14 imp pos 16-17, page-2 stuck"
guntur cardiologist,,,commercial,target,cardiologist_guntur,false,,manual,"GSC: 1 imp pos 12 — word-order variant Google treats as same intent"
heart specialist guntur,,,commercial,target,cardiologist_guntur,false,,manual,"3-word canonical for ""heart specialist in guntur"" — GSC: 14+22 imp pos 5.7-8.1"
interventional cardiologist,,,commercial,target,cardiologist_guntur,false,,manual,"GSC: 6 imp pos 9.17 (with in guntur modifier) — Dr Kamalakar's specialism, top differentiator"
cardiology guntur,,,commercial,content,cardiologist_guntur,false,,manual,"institutional searcher variant"
best cardiologist guntur,,,commercial,target,best_in_guntur,true,,manual,"3-word canonical for ""best cardiologist in guntur"" — GSC: 40+3 imp pos 19.4 (biggest opportunity, US-13 in Phase 2)"
top cardiologist guntur,,,commercial,target,best_in_guntur,false,,manual,"GSC: 1 imp pos 18 — also covers ""top 5"" and ""top 10"" listicle queries Google treats as same intent"
famous cardiologist guntur,,,commercial,target,best_in_guntur,false,,manual,"GSC: 5 imp pos 7"
best heart specialist,,,commercial,target,best_in_guntur,false,,manual,"3-word canonical for ""best heart specialist in guntur"" — GSC: 6 imp pos 14 33% CTR"
cardiac hospital guntur,,,commercial,target,hospital_clinic_guntur,true,,manual,"GSC: 5 imp pos 32.6 — pillar for institutional searchers"
heart hospital guntur,,,commercial,target,hospital_clinic_guntur,false,,manual,"GSC: 1 imp pos 8"
cardiology hospital guntur,,,commercial,target,hospital_clinic_guntur,false,,manual,"GSC: 1 imp pos 8.33"
heart centre guntur,,,commercial,target,hospital_clinic_guntur,false,,manual,"matches our brand name — should always rank top 3"
heart clinic guntur,,,commercial,target,hospital_clinic_guntur,false,,manual,"GSC: 1 imp pos 9 (heart clinic)"
angio care hospital,,,commercial,content,hospital_clinic_guntur,false,,manual,"GSC: 11 imp pos 10.45 — competitor brand attracting our impressions"
2d echo cost,,,transactional,easy_win,diagnostics_pricing,true,,manual,"GSC: 8 imp pos 12.25 — pillar for /services/diagnostics-pricing/ — ₹1000"
echo tmt price,,,transactional,easy_win,diagnostics_pricing,false,,manual,"GSC: 24+2 imp pos 50-66 — was unmet, now covered by US-06"
2d echo guntur,,,commercial,target,diagnostics_pricing,false,,manual,"core test+geo combo"
ecg cost,,,transactional,content,diagnostics_pricing,false,,manual,"₹200 — included with consultation; weak commercial value"
tmt cost,,,transactional,easy_win,diagnostics_pricing,false,,manual,"₹1200"
holter cost,,,transactional,target,diagnostics_pricing,false,,manual,"₹6000 — niche 24-hour monitoring intent"
angiogram cost,,,transactional,target,diagnostics_pricing,false,,manual,"GSC: 1 imp pos 13 — Practo dominates"
angioplasty cost,,,transactional,target,diagnostics_pricing,false,,manual,"highest commercial value (₹1.1L+) — national comparators dominate SERP"
heart checkup cost,,,transactional,content,diagnostics_pricing,false,,manual,"package query — clinic doesn't sell packages, deprioritise"
angioplasty guntur,,,commercial,target,procedures,true,,manual,"core procedure pillar"
angiogram guntur,,,commercial,target,procedures,false,,manual,"diagnostic + procedural"
pacemaker guntur,,,commercial,target,procedures,false,,manual,"GSC: 4 imp pos 5.67 — niche, already ranking well"
pacemaker implantation,,,commercial,target,procedures,false,,manual,"clinical query — Phase 2 explainer content"
eecp guntur,,,commercial,easy_win,procedures,false,,manual,"new dedicated page (US-07); pos 15 → push to top 5"
eecp treatment,,,commercial,easy_win,procedures,false,,manual,"GSC: 1 imp pos 15 — niche, low competition"
ecg test guntur,,,commercial,target,tests_diagnostics,true,,manual,"core diagnostic pillar"
2d echo test,,,commercial,target,tests_diagnostics,false,,manual,"GSC: 24+8+6 imp combined — strong demand"
tmt test,,,commercial,target,tests_diagnostics,false,,manual,"stress test variant"
holter monitor,,,commercial,content,tests_diagnostics,false,,manual,"24-hour ambulatory; niche"
stress test,,,commercial,content,tests_diagnostics,false,,manual,"alt term for TMT"
heart checkup,,,commercial,target,tests_diagnostics,false,,manual,"comprehensive screening intent"
chest pain doctor,,,informational,target,symptoms_conditions,true,,manual,"high-anxiety query, easy E-E-A-T win with Dr Kamalakar's credentials"
heart attack doctor,,,informational,target,symptoms_conditions,false,,manual,"GSC: 2 imp pos 4.5 — already top 5"
heart failure doctor,,,informational,target,symptoms_conditions,false,,manual,"GSC: 1 imp pos 9"
hypertension specialist,,,informational,target,symptoms_conditions,false,,manual,"GSC: 1 imp pos 12 — own /services/hypertension-cholesterol page covers this"
cholesterol doctor,,,informational,target,symptoms_conditions,false,,manual,"GSC: 1 imp pos 12"
bp specialist,,,informational,easy_win,symptoms_conditions,false,,manual,"GSC: 1 imp pos 1 — already winning short-tail"
blood pressure doctor,,,informational,content,symptoms_conditions,false,,manual,"overlaps bp specialist intent"
heart problem doctor,,,informational,content,symptoms_conditions,false,,manual,"GSC: 1 imp pos 1"
palpitations doctor,,,informational,content,symptoms_conditions,false,,manual,"symptom variant — uncovered"
cardiologist near me,,,commercial,target,near_me,true,,manual,"GSC: 4 imp pos 8.25 — local-pack/GBP query; GBP completeness matters more than on-page; covers all ""X near me"" variants"
heart attack near,,,commercial,content,near_me,false,,manual,"3-word stub for ""heart attack doctor near me"" (GSC: 2 imp pos 4.5) — emergency-intent variant"
ecg near me,,,commercial,target,near_me,false,,manual,"GSC: 1 imp pos 10"
tmt near me,,,commercial,content,near_me,false,,manual,"GSC: 1 imp pos 10 — variant of ""tmt test near me"""
echo near me,,,commercial,content,near_me,false,,manual,"3-word stub for ""2d echo test near me"" (GSC: 2 imp pos 11.5)"
